amenity,count,replace_value
fully-equipped fitness center,1,
"Business Center
 
Common Outdoor Space",1,
Rooftop Terrace,1,
Swimming pool/Playroom/Conference room,1,
Outdoor Pool,1,
Yoga Studio,1,
Art Deco Landmark,1,
Wraparound Roof Terrace,1,
Lounge with Pool table and Catering Kitchen,1,
yoga room,1,
new,1,
rooftop lounge,1,
Private Bar,1,
outdoor lounge,1,
modern,1,
Peloton bikes,1,
Valet Housekeeping and Dry Cleaning Services,1,
Gaming tables,1,
Bike room,1,
WAHER/DRYER,1,
Room For Rent,1,
Available now,1,
Net effective,1,
Guarantor approved,1,
Students welcome,1,
True two bedroom,1,
Two full bathrooms,1,
Guarantors accepted,1,
Showing Monday - Saturday - Easy Approval Processs,1,
One free month,1,
Residents only speakeasy located on site,1,
show stopping amenities,1,
One month free,1,
no broker fee,1,
showing 7 days a week,1,
Marble Bathrooms,1,
Wraparound Vistas,1,
Iconic Views,1,
20-Foot Great Room Ceiling,1,
Wine Refrigerator,1,
Miele and Sub-Zero Kitchen Appliances,1,
Walnut and Granite Kitchens,1,
MOVIE THEATER,1,
TErrace,1,
Wrap around Terrace,1,
Housekeeping and Dry Cleaning Servicesc,1,
"Furnished
 
Pre-War",1,
"One Month Free
 
Stainless Steel Appliances",1,
Game Room.,1,
WIFI,1,
BUSINESS CENTER,1,
VALET,1,
"River View
 
Storage",1,
Roof Sundeck,1,
Outdoor Rooftop Pool,1,
 Diplomats Ok,1,
"Hardwood Floors
 
Eat In Kitchen",1,
 Parking Space,1,
Entertaining kitchen & dining room available by reservation. Gaming room and outdoor rooftop pool with panoramic views of lower Manhattan and beyond.,1,
super on site,1,
"Granite Kitchen
 
Light",1,
"Elevator
 
Stainless Steel Appliances",1,"Elevator, Stainless Steel Appliances"
QUEEN SIZE BEDROOMS,1,
Unit has a fireplace,1,
Split Bedroom,1,
Top Floor,1,
Flex Two,1,
"Fitness Center
 
Pre-war",1,
"
Laundry in Building",1,Laundry In Building
Hardwood floor- High ceilings- Close to transportation-,1,
Tv Lounge,1,
On-site Parking Garage,1,
 On-site Laundry,1,Laundry In Building
Sponsor Unit,1,
SWIMMING POOL,1,
"Dining Room
 
Balcony",1,
Space,1,
Outdoor,1,
Renovated Granite,1,
Gas Included,1,
Cats Only,1,
Bookshelf Divider Installed,1,
Onsite Garage,1,
elevator building,1,Elevator
Walk in closet,1,
5 Min Walk to GCT,1,
High Floor,1,
stunning views.,1,
High floor,1,
No pets allowed,1,
Conveniently located minutes,1,
BRIGHT,1,
CONVENIENT,1,
TRANSPORTATION,1,
ROOF TOP!,1,
RIVER VIEWS,1,
PROMENADE,1,
"Garage
 
Gym",1,
"Laundry in Unit
 
Dishwasher",1,"Laundry In Unit, Dishwasher"
 Laundry in Unit,1,Laundry In Unit
Tons of Closet Space,1,
Separate Windowed Eat-in Kitchen,1,
